Module ID,Module Name,Category,Core Features,Status,Tech Stack,Version,Metric (Value),Source
Not in source,DkZ Hub Chrome Extension,Builder Suite,"8 Tabs: Hub Home, Tab Manager, Clipboard, Color Picker, Web Scraper, AI Toolkit, Copilot, Settings",active,"React 18, Tailwind 3, Supabase, DuckDB-WASM, Vite",v1.0,8 Tabs,"[1, 2]"
MOD-082,Research Archive System,Meta & Archive,"Centralized archiving of session artifacts, searchable, filterable",active,Vanilla HTML/CSS/JS,v0.01,225+ Artifacts,[1]
MOD-083,n8n Workflow Viewer,Analysis & Data,"3,815 Templates, Drawflow Node-Editor",active,Vanilla JS,v0.01,"3,815 Templates",[1]
Not in source,Wiki Hub,Meta & Archive,"Backup database, aggregation of 9 sources, deduplication",active,Vanilla JS,v0.01,"3,800 Entries",[1]
Not in source,action-builder,Builder Suite,Part of the Builder Chain for creating logic actions,active,Vanilla JS,v0.01,5 Tools in Category,[2]
Not in source,ai_chat,AI & Prompts,GPT-4o/Claude Chat integration,active,"Vanilla JS, Puter AI API",v0.01,5 Tools in Category,[2]
Not in source,iceberg,Backend & System,"Apache Iceberg Server, knowledge lake, cataloging",active,"Go, Python fallback",v0.01,7 Tools in Category,[2]
Not in source,color-picker,Design & UI,Select and manage colors,active,Vanilla JS,v0.01,6 Tools in Category,[2]
Not in source,json-formatter,Developer Tools,Format JSON data,active,Vanilla JS,v0.01,15 Tools in Category,[2]
Not in source,timer-tools,Productivity,Time management and tracking,active,Vanilla JS,v0.01,6 Tools in Category,[2]
