Category,Name,Type,Endpoint or Tool,Description,Method,Requirements,Source
Chat,Chat,API Endpoint,/api/v1/chat,AI Chat with multi-model support,POST,X-DKZ-Key (planned),"[1, 2]"
Chat,Chat Tools,MCP Tool,"dkz_chat, dkz_summarize, dkz_translate, dkz_code_gen",AI Chat and language processing tools,N/A,Zod validation,[2]
Files,File Operations,API Endpoint,/api/v1/files/*,Read files from the filesystem,GET,None (localhost only),"[1, 2]"
Files,File Tools,MCP Tool,"dkz_read_file, dkz_write_file, dkz_list_dir",Filesystem operations tools,N/A,Zod validation,[2]
SEO,SEO Analysis,API Endpoint,/api/v1/seo/analyze,Analyze a URL for SEO metrics,POST,URL in body,"[1, 2]"
SEO,SEO Tools,MCP Tool,"dkz_seo_analyze, dkz_meta_generate",SEO analysis and meta tag generation,N/A,Zod validation,[2]
Tools,MCP Executor,API Endpoint,/api/v1/tools/execute,Execute any MCP tool via REST,POST,tool name and params in body,"[1, 2]"
Tokens,Token Management,MCP Tool,"otr_token_set, otr_token_status, otr_token_remove",API key and token management,N/A,Zod validation,[2]
Integrations,OpenRouter,Service Provider,https://openrouter.ai/docs,"LLM Gateway with access to Gemini, Llama, and DeepSeek",N/A,API Key from OpenRouter,"[2, 3]"
Integrations,GitHub,Service Provider,otr_github_*,DevOps integration for repository management,N/A,"GitHub Token (scopes: repo, read:org)","[2, 3]"
Integrations,Notion,Service Provider,otr_notion_*,Productivity integration for Notion workspace,N/A,Notion Integration Token,"[2, 3]"
Integrations,HuggingFace,Service Provider,otr_huggingface_*,Models and inference via community platform,N/A,HuggingFace API Token,"[2, 3]"
Integrations,NVIDIA NIM,Service Provider,NVIDIA NIM API,High-performance LLM inference,N/A,NVIDIA Build API Key,"[2, 3]"
Automation,n8n,Service Provider,otr_n8n_workflows,Workflow automation on Hetzner VPS,N/A,SSH or API connection via Hetzner VPS,"[2, 3]"
Research,NotebookLM,Service Provider,otr_notebooklm_create,Google Research pipeline integration,N/A,"Google Account Authentication, Python 3.10",[2-4]
Modules,Module Registry,API Endpoint,/api/v1/modules,List all system modules,GET,None (localhost only),"[1, 2]"
System,Git Sync,API Endpoint,/api/v1/sync,Git commit and push operations,POST,None (localhost only),"[1, 2]"
Health,Health,API Endpoint,/api/v1/health,System health check and status monitoring,GET,None (localhost only),"[1, 2]"
