Category,Module Name,Folder Name,Version,Status,Required Scripts,Management Rules,Source
KI & Prompts,Prompt Generator,prompt-generator,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-guide.js, dkz-copilot.js, dkz-prompt-hub.js","R21, R22, §19","[1, 2]"
KI & Prompts,AI Chat,ai-chat,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-guide.js, dkz-copilot.js, dkz-prompt-hub.js","R21, R22, §19",[1-3]
Builder Suite,Action Builder,action-builder,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-prompt-hub.js","R21, R22, §19","[1, 2]"
Developer Tools,JSON Formatter,json-formatter,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-guide.js, dkz-copilot.js","R21, R22","[1, 3]"
Developer Tools,Regex Tester,regex-tester,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-guide.js, dkz-copilot.js","R21, R22","[1, 3]"
Backend & System,Iceberg Knowledge Lake,iceberg,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-iceberg.js, dkz-copilot.js","R21, R22, R23",[1-3]
Meta & Archiv,WissenHub,wissen-hub,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-copilot.js","R21, R22, R26",[1-3]
Meta & Archiv,Research Archive,research-archive,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-copilot.js","R21, R22, §34","[1, 2]"
Meta & Archiv,Wiki Hub,wiki-hub,v0.01,active,"dkz-theme.css, dkz-navbar.js, dkz-debug.js, dkz-copilot.js, dkz-crosslinks.js","R21, R22, §35",[2]
Chrome Extension,DkZ Hub,dkz-hub,v1.0,active,"React 18, Tailwind 3, Supabase, DuckDB-WASM",Exemption R0 (React+Tailwind approved),"[1, 2]"
